Балансир,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-002,00000001986,MJX,MJX,20%,КИТАЙ ,,6.55
Лопасти верхние ,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-004,00000001987,MJX,MJX,20%,КИТАЙ ,,9.10
Держатель верхних лопастей верхняя часть,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-005,00000001988,MJX,MJX,20%,КИТАЙ ,,1.04
Держатель нижних лопастей нижняя часть ,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-008,00000001989,MJX,MJX,20%,КИТАЙ ,,3.75
Лопасти нижние ,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-009,00000001990,MJX,MJX,20%,КИТАЙ ,5.00,20.40
Двигатель верхних лопастей,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-013,00000001991,MJX,MJX,20%,КИТАЙ ,,4.30
Кабина,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-017,00000001992,MJX,MJX,20%,КИТАЙ ,,3.58
Плата,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-018,00000001993,MJX,MJX,20%,КИТАЙ ,,3.50
Рама основная,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-020,00000001994,MJX,MJX,20%,КИТАЙ ,,3.75
Лыжи,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-030,00000001995,MJX,MJX,20%,КИТАЙ ,,6.55
Вал внутренний с головкой ротора в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-035,00000001996,MJX,MJX,20%,КИТАЙ ,,8.20
Винт хвостовой,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-038,00000001997,MJX,MJX,20%,КИТАЙ ,,54.97
Балка хвостовая в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-041,00000001998,MJX,MJX,20%,КИТАЙ ,5.00,19.20
Вал внешний,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-051,00000001999,MJX,MJX,20%,КИТАЙ ,,2.39
Шестерня нижняя ,Детали и запчасти,00000000804,к вертолетам,00000000805,T656-053,00000002000,MJX,MJX,20%,КИТАЙ ,,3.33
Крышка верхняя,Детали и запчасти,00000000804,к вертолетам,00000000805,F645-001,00000002001,MJX,MJX,20%,КИТАЙ ,,5.30
Тяга соединительная короткая,Детали и запчасти,00000000804,к вертолетам,00000000805,F645-003,00000002003,MJX,MJX,20%,КИТАЙ ,5.00,23.30
Тяга сервопривода,Детали и запчасти,00000000804,к вертолетам,00000000805,F645-009,00000002006,MJX,MJX,20%,КИТАЙ ,,42.00
Сервопривод,Детали и запчасти,00000000804,к вертолетам,00000000805,F645-016,00000002007,MJX,MJX,20%,КИТАЙ ,,1.88
Пульт управления для MJX F645,Детали и запчасти,00000000804,к вертолетам,00000000805,"F645 2,4TX",00000002009,MJX,MJX,20%,КИТАЙ ,,2.50
Пульт управления для MJX F647,Детали и запчасти,00000000804,к вертолетам,00000000805,"F647 2,4TX",00000002011,MJX,MJX,20%,КИТАЙ ,,8.20
Балансир,Детали и запчасти,00000000804,к вертолетам,00000000805,GS252-001,00000002014,Maxspeed,Maxspeed,20%,КИТАЙ ,,6.55
Тяга соединительная,Детали и запчасти,00000000804,к вертолетам,00000000805,GS252-002,00000002015,Maxspeed,Maxspeed,20%,КИТАЙ ,5.00,8.69
Держатель лопастей верхних ,Детали и запчасти,00000000804,к вертолетам,00000000805,GS252-004,00000002016,Maxspeed,Maxspeed,20%,КИТАЙ ,5.00,39.44
Шестерня верхняя с валом в сборе,Детали и запчасти,00000000804,к вертолетам,00000000805,GS252-017,00000002017,Maxspeed,Maxspeed,20%,КИТАЙ ,,42.00
Шестерня нижняя ,Детали и запчасти,00000000804,к вертолетам,00000000805,GS252-018,00000002018,Maxspeed,Maxspeed,20%,КИТАЙ ,,1.20
Пропеллер А,Детали и запчасти,00000000804,к мультикоптерам,00000001802,GS860-2,00000002019,Maxspeed,Maxspeed,20%,КИТАЙ ,,9.17
